snap(48,-36,-67)
sky(241,241,187)
fog(209,198,174)
clouds(255,255,255,10,-1156)
ground(184,191,143)
texture(138,78,63,23)
fadefrom(4600)
density(6)
mountains(98102)
nlaps(7)
soundtrack(destruct.mod,210,102)
lightson()
name(Empire of the Fallen King)


set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)
set(26,0,11200,0)pr
set(10,0,16800,0)
set(30,0,20880,180)pl
set(10,0,26989,0)
set(10,0,32589,180)
chk(40,0,32589,0)r
set(14,0,37139,-90)pt
set(10,-4550,37139,90)
set(26,-6000,37139,90)pr
set(10,-10150,37139,90)p
set(37,-12000,37239,90)
set(10,-15750,37139,90)p
set(37,-15000,37039,90)
set(37,-14000,37239,90)
set(37,-13000,37039,90)
set(20,-21350,37139,-90)p
set(16,-26950,37139,-90)p
set(15,-32550,37139,-90)p
set(17,-37100,37139,0)
chk(42,-35350,37239,90)r
set(17,-37100,33639,90)pt
set(24,-35350,33639,-90)p
set(15,-26950,33639,90)
set(15,-21350,33639,90)
set(33,-23850,33639,90)pr
set(24,-18550,33639,-90)
set(33,-18550,33639,90)pr
set(24,-12950,33639,90)p
set(16,-10150,33639,90)p
set(37,-11000,37039,90)
set(37,-10000,37239,90)
set(17,-5600,33639,-90)pt
set(17,-5600,30139,180)
chk(42,-5600,31688,0)r
set(24,-7350,30139,90)p
set(15,-15750,30139,-90)
set(24,-18550,30139,90)
set(35,-17185,29865,90)pr
set(24,-24150,30139,-90)p
set(16,-26950,30139,90)p
set(24,-29750,30139,90)p
set(24,-35350,30139,-90)p
set(17,-37100,30139,0)
chk(42,-37100,28389,0)r
set(15,-37100,25589,0)p
set(20,-37100,19989,180)p
set(10,-37100,14389,0)
set(29,-37100,14340,0)pr
set(10,-37100,8789,0)p
set(38,-37100,8000,0)
fix(41,-37100,4500,-2700,0)
set(10,-37100,3189,0)p
set(38,-37100,6000,0)
set(38,-37100,4000,0)
set(38,-37100,2000,0)
set(10,-37100,-2411,0)p
set(38,-37100,0,0)
set(10,-37100,-6011,0)p
set(38,-37100,-2000,0)
set(14,-37100,-10150,90)
chk(40,-37100,-8400,0)r
set(10,-32550,-10150,90)p
set(14,-28000,-10150,180)pt
set(10,-28000,-6011,180)p
set(10,-28000,-2411,180)
set(23,-28000,389,180)
set(27,-28000,-1905,0)
set(27,-28000,620,180)pr
set(23,-28000,11589,0)
chk(40,-28000,11589,0)r
set(14,-28000,13339,0)pt
set(10,-23450,13339,90)p
set(10,-17850,13339,90)
set(10,-12250,13339,90)p
set(38,-15300,13339,90)
set(38,-11300,13339,90)
set(38,-13300,13339,90)
set(22,-8890,13339,90)p
set(22,-7770,13339,-90)p
set(38,-9300,13339,90)
set(22,-6650,13339,90)p
set(14,-4340,13339,180)
chk(40,-4340,15089,0)r
set(10,-4340,17889,180)
set(10,-4340,22242,0)
set(14,-4340,26792,-90)
chk(40,-4340,25042,0)r
set(10,-8890,26792,-90)p
set(10,-14490,26792,-90)p
set(14,-19040,26792,0)pt
set(10,-19040,22242,0)
set(29,-19040,18630,0)pr
set(23,-19040,17716,0)
set(50,-19040,8620,0)pl
set(15,-19040,6320,180)
set(16,-19040,0,0)p
set(15,-19040,-5600,180)p
set(17,-19040,-10150,90)
chk(42,-19040,-8400,0)r
set(15,-14490,-10150,90)
set(33,-13660,-10150,90)pr
set(15,-8890,-10150,90)
set(33,-9480,-10150,90)pr
set(15,-4550,-10150,-90)p

chk(42,0,-8400,0)r
set(20,0,-5600,0)
set(15,-19040,5600,180)
set(24,-19040,9120,0)

set(10,-19040,20516,0)

set(15,-27890,21446,0)
set(24,-27890,24246,0)
set(24,-27890,18646,180)
set(34,-27890,21336,180)
set(24,-29750,33639,90)
set(33,-29750,33639,90)
set(24,-12950,30139,-90)
set(35,-14735,30635,90)
set(24,-9413,8981,0)po
set(15,-9413,6181,0)
fix(41,-9413,2450,-700,0)
set(15,-9413,581,0)
set(35,-9413,4325,180)
set(15,-9413,-1775,0)
set(35,-9413,275,180)
set(24,-9413,-4575,180)po

set(17,0,-10150,180)pt

maxl(12,-42364,-12905)
maxb(10,-15305,-39964)
maxr(12,5635,-12905)
maxt(10,42294,-39964)
