snap(-43,-60,-57)
sky(148,0,217)
fog(84,0,190)
clouds(255,128,128,8,-640)
ground(84,0,140)
texture(0,0,0,10)
fadefrom(5000)
density(3)
mountains(78334)
nlaps(1)
name(Time Warp)
lightson()


set(48,0,0,0)p
set(15,0,5600,0)
set(15,0,11200,0)
set(35,0,9443,180)pr
set(16,0,16800,180)p
set(20,0,22400,0)p
set(10,0,26728,0)p
set(13,-1520,32358,30)
set(12,1520,32358,-30)
set(10,3040,37988,0)
set(28,0,39351,0)pr
set(10,3040,43588,0)
set(10,3040,49188,0)
set(23,3040,50667,180)
set(10,3040,61994,0)p
set(10,3040,67594,0)
set(29,3040,68230,180)pr
set(10,3040,73194,0)
set(13,1520,78824,30)
set(12,-1520,78824,-30)
set(10,-3040,73194,0)
set(10,-3040,67594,0)
set(29,-3040,68230,0)
set(10,-3040,61994,0)
set(13,-1520,56364,30)
set(10,0,45134,0)
set(10,0,50734,0)
set(38,3040,44000,0)
set(10,0,39534,0)
set(38,3040,42000,0)
set(38,3040,40000,0)
set(38,3040,38000,0)
set(23,0,36734,0)
set(38,3040,36000,0)
set(10,-3040,49188,0)
set(10,-3040,43588,0)
set(28,0,47165,0)
set(38,-3040,44000,0)
set(10,-3040,37988,0)
set(38,-3040,36000,0)
set(38,-3040,42000,0)
set(38,-3040,40000,0)
set(38,-3040,38000,0)
set(12,1520,56364,-30)
set(31,3040,50308,0)
set(23,-3040,50714,180)
set(31,-3040,50308,0)
set(15,0,-5600,0)
set(24,0,-8400,180)
set(10,0,84454,0)p
chk(40,0,87254,0)
set(10,0,90054,0)
set(10,0,95654,180)
set(26,0,94936,0)pr
set(10,0,101254,0)
set(10,0,106854,0)
set(20,0,112454,180)
set(28,0,107751,180)pr
set(15,0,118054,180)
set(44,0,123654,180)
set(43,0,129254,180)
set(34,0,125625,180)
set(43,0,134854,180)
set(33,0,132490,0)
set(43,0,140454,180)
set(33,0,136675,0)
set(44,0,146054,0)
set(15,0,151654,0)
set(15,0,157254,0)
set(50,0,152896,0)pr
chk(40,0,166718,0)
set(10,0,179654,0)
set(10,0,185254,0)
set(10,0,202054,0)
set(10,0,207654,0)
set(10,0,213254,0)
set(23,0,215454,180)
set(26,0,216054,0)pr
set(12,1520,171262,150)
set(20,0,162854,0)
set(22,0,167872,0)
set(22,0,166752,180)
set(22,0,166158,180)
set(13,-1520,171262,210)
set(23,0,176854,0)
set(10,-3040,176892,0)
set(10,3040,176892,0)
set(10,3040,182492,0)
fix(41,3040,187124,-1500,0)
set(10,3040,188092,0)
set(10,-3040,182492,0)
fix(41,-3040,187124,-1500,0)
set(10,-3040,188092,0)
fix(41,0,195748,-3000,0)
set(13,1520,193722,30)
set(12,-1520,193722,-30)
set(23,0,189050,180)
set(10,0,186250,180)
set(31,0,183818,180)
set(31,0,180163,0)
set(30,-3040,181735,0)
set(30,3040,181735,0)pr
set(10,0,199352,180)
set(10,0,221500,90)p
fix(41,0,224661,-2500,0)
chk(40,0,207788,0)
set(10,0,224500,90)
set(10,0,227500,90)
set(46,0,227500,90)
set(46,0,224500,90)
set(46,0,221500,90)
set(45,4480,227500,90)
set(45,-4480,227500,-90)
set(45,-4480,224500,-90)
set(45,4480,224500,90)
set(45,4480,221500,90)
set(45,-4480,221500,-90)
set(23,-6203,227500,-90)
set(23,6343,227500,90)
set(23,-6203,224500,-90)
set(23,6343,224500,90)
set(23,-6203,221500,-90)
set(23,6343,221500,90)
set(23,0,233528,0)
set(20,0,236328,180)
set(15,0,241928,180)
chk(42,0,243301,0)
set(15,0,253128,180)
set(16,0,247528,180)
set(15,0,258728,0)
set(33,0,260050,0)
set(50,0,254580,0)pr
set(15,0,264328,0)
set(33,0,264300,0)
set(20,0,269928,0)
set(10,0,275528,0)
chk(40,0,272370,0)
set(10,0,281128,0)
fix(41,0,288000,-1350,0)
set(11,0,286728,0)
set(29,0,279764,0)pr
set(38,0,284000,0)
set(38,0,286000,0)
set(38,0,288000,0)
set(11,0,292328,0)
set(10,0,297928,0)
set(10,0,303528,0)
set(10,0,309128,0)
set(13,-1520,314758,30)
set(12,1520,314758,-30)
set(23,-5160,317620,0)
set(23,5160,317620,0)
set(23,0,317620,0)
set(10,-5160,320420,0)
set(10,0,320420,0)
set(10,5160,320420,0)
set(10,3040,320388,0)
set(10,-3040,320388,0)
set(13,1520,326018,30)
set(31,5160,321540,0)
set(28,3040,321024,0)
set(12,-1520,326018,-30)
set(28,-3040,321024,0)pr
set(31,0,321540,0)
set(31,-5160,321540,0)
set(10,0,331648,0)
set(23,0,333340,180)
set(15,3040,297988,0)
set(15,-3040,297988,0)
set(15,3040,292388,0)
set(15,-3040,292388,0)
set(38,0,290000,0)
set(38,0,292000,0)
set(15,-3040,309188,0)
set(15,3040,309188,0)
set(24,-3040,289588,180)
set(50,-3040,292556,0)
set(24,3040,289588,180)
set(50,3040,292348,0)
set(24,-3040,311696,0)
set(35,-3040,311048,0)
set(24,3040,311592,0)
set(35,3040,310944,0)
set(16,-3040,303588,0)
set(16,3040,303588,0)
set(23,2800,341740,90)
set(23,-2800,341740,-90)
chk(40,0,341854,0)
set(10,0,341740,90)p

maxl(74,-8200,-7836)
maxb(4,-10236,-7200)
maxr(74,8200,-7836)
maxt(4,344964,-7200)
