snap(-60,-26,2)
sky(56,148,160)
fog(53,101,161)
clouds(255,255,255,5,-1000)
ground(43,149,176)
texture(0,0,0,20)
fadefrom(5000)
density(5)
mountains(86809)
name(Evasion Tactics)
nlaps(6)
lightson()


set(47,0,0,0)
set(23,0,2081,180)p
set(10,0,16800,0)
set(10,0,22400,0)p
set(14,0,26950,-90)
chk(40,0,25200,0)
set(10,-4550,26950,-90)p
set(10,-10150,26950,-90)
set(28,-10524,26950,90)pr
set(10,-15750,26950,-90)
set(10,-21350,26950,-90)
set(10,-26950,26950,-90)p
set(14,-31500,26950,90)
chk(40,-31500,28700,0)
set(14,-31500,30450,0)pt
set(10,-26950,30450,90)p
set(10,-21350,30450,90)
set(23,-17161,30450,90)
set(29,-18062,30450,-90)pr
set(10,1050,30450,-90)p
set(10,6650,30450,90)p
set(14,11200,30450,-90)
chk(40,9450,30450,90)
set(12,9680,25870,-30)p
set(10,8160,20240,0)p
set(36,9970,19630,-90)
set(10,8160,14640,0)
set(36,9970,15710,-90)
set(36,9970,17670,-90)
set(14,8160,10090,180)pt
fix(41,3939,8560,-2000,0)
set(10,3610,10090,-90)
chk(40,3295,10090,90)
set(10,-1990,10090,-90)
set(32,-3759,10094,90)
set(32,-3760,10440,90)
set(32,-3760,9740,90)pr
set(10,-7590,10090,-90)p
set(20,-13190,10090,-90)
set(15,-18790,10090,-90)p
set(17,-23340,10090,0)
chk(42,-23340,8340,0)
set(17,-23340,6590,90)pt
set(15,-18790,6590,90)p
set(15,-13190,6590,90)
set(34,-13638,6590,90)pr
set(15,-7590,6590,90)p
set(15,-1990,6590,90)
set(15,3610,6590,90)
set(33,0,6670,180)pr
set(17,8160,6590,-90)pt
set(15,8160,2040,0)
chk(42,8160,3415,0)
set(20,8160,-3560,180)p
set(13,9680,-9190,210)p
set(14,11200,-13770,180)pt
set(10,6650,-13770,-90)
chk(40,6070,-13770,90)
set(10,1050,-13770,-90)
set(36,-170,-15580,180)ph
set(36,1790,-15580,180)
set(10,-4550,-13770,-90)
set(36,-2130,-15580,180)
set(23,-7350,-13770,-90)
set(26,-7950,-13770,90)pr
set(10,-26950,-13770,-90)p
set(14,-31500,-13770,90)
chk(40,-31500,-12020,0)
set(14,-31500,-10270,0)pt
set(10,-26950,-10270,90)
set(10,-21350,-10270,90)
set(36,-20628,-8460,0)
set(36,-24548,-8460,0)ph
set(36,-22588,-8460,0)ph
set(10,-15750,-10270,90)p
set(36,-18668,-8460,0)
set(10,-10150,-10270,90)p
set(10,-4550,-10270,90)p
set(14,0,-10270,180)pt
chk(40,-2210,-10270,90)

set(15,3939,17292,0)
set(15,3939,22892,0)
set(24,3939,25692,0)
set(23,-1750,30450,-90)
set(23,-7625,18650,90)
set(10,-10425,18650,90)
set(37,-11800,18713,0)
set(37,-10600,18713,0)
set(37,-9400,18713,0)
set(37,-8200,18713,0)
set(37,-7000,18713,0)
set(10,-16025,18650,90)
set(37,-17800,18713,0)
set(37,-16600,18713,0)
set(37,-15400,18713,0)
set(37,-14200,18713,0)
set(37,-13000,18713,0)
set(10,-21625,18650,-90)
set(37,-22600,18713,0)
set(37,-21400,18713,0)
set(37,-20200,18713,0)
set(37,-19000,18713,0)
set(13,-27255,17130,-60)
set(37,-23800,18713,0)
set(23,-30085,15610,-90)
set(12,-27255,-450,-120)
set(10,-21625,-1970,-90)
set(37,-23800,-1970,0)
set(37,-22600,-1970,0)
set(37,-21400,-1970,0)
set(37,-20200,-1970,0)
set(10,-16025,-1970,-90)
set(37,-19000,-1970,0)
set(37,-17800,-1970,0)
set(37,-16600,-1970,0)
set(37,-15400,-1970,0)
set(37,-14200,-1970,0)
set(10,-10425,-1970,-90)
set(37,-13000,-1970,0)
set(37,-11800,-1970,0)
set(37,-10600,-1970,0)
set(23,-7625,-1970,90)
set(37,-9400,-1970,0)
set(37,-8200,-1970,0)
set(37,-7000,-1970,0)
set(23,0,14285,0)
set(10,0,-5600,180)
set(23,-30085,1070,-90)
set(23,-24150,-13770,90)
set(24,3939,14492,180)po
set(34,3939,16016,180)
set(24,3939,2173,0)
set(15,3939,-627,0)
set(34,3939,1200,180)
set(15,3939,-6227,0)
set(24,3939,-9027,180)

set(10,0,-5720,180)p

maxl(11,-34035,-15973)
maxb(10,-18373,-31635)
maxr(11,13965,-15973)
maxt(10,34427,-31635)
