snap(30,30,35)
sky(150,150,150)
fog(142,142,142)
clouds(255,255,255,5,-1000)
ground(230,230,230)
texture(0,0,0,50)
fadefrom(3500)
density(1)
mountains(82007)
name(Polar Winds)
nlaps(4)



set(61,0,0,0)p
set(62,0,5600,180)
set(65,0,6450,180)pr
set(62,0,11200,180)p
set(64,0,15750,0)
chk(70,0,14000,0)
set(62,4550,15750,90)
set(62,10150,15750,90)
set(68,9120,15750,-90)pr
set(62,15750,15750,-90)
set(64,20300,15750,-90)
set(62,20300,11200,0)
set(62,20300,5600,0)p
set(65,20300,9064,0)
chk(70,20300,2800,0)
set(64,20300,1050,90)pt
set(62,24850,1050,90)p
set(66,25878,522,90)pr
set(62,30450,1050,90)
set(66,28428,1440,90)pr
set(62,36050,1050,-90)p
set(64,40600,1050,180)
chk(70,40600,2800,0)
set(71,40600,5600,0)
set(23,40600,8400,180)
set(26,40600,9000,0)pr
set(10,40600,16800,0)
set(30,40600,15680,180)pl
set(10,40600,22400,0)p
chk(72,40600,25200,0)
set(14,40600,26950,-90)pt

set(10,36050,26950,-90)
set(10,30450,26950,-90)
set(38,29835,26950,90)
set(38,34274,26950,90)
set(38,32040,26950,90)
set(14,25900,26950,90)
set(38,27885,26950,90)
set(10,25900,31500,180
set(10,25900,37100,180)p
chk(72,25900,34712,0)
set(14,25900,41650,0)pt
set(10,30450,41650,90)p
set(10,36050,41650,90)
set(28,35948,41650,90)pr
set(10,41650,41650,90)


set(10,47250,41650,90)p
set(14,51800,41650,-90)pt
set(10,51800,37100,0)
chk(72,51800,37910,0)
set(10,51800,31500,0)
set(10,51800,25900,0)
set(29,51800,29740,0)pr

set(10,51800,20300,0)p

set(10,51800,14700,0)

set(71,51800,9100,0)p
set(62,51800,3500,0)
chk(70,51800,3580,0)
set(62,51800,-2100,0)
set(62,51800,-7700,0)
set(64,51800,-12250,180)
set(66,41697,-5080,90)pr
set(62,47250,-12250,-90)
set(65,48272,-12250,-90)
set(62,41650,-12250,-90)
set(65,42638,-11800,0)
set(62,36050,-12250,-90)p
set(65,38512,-12628,0)
set(62,30450,-12250,-90)p
set(63,27650,-12250,90)
set(67,28490,-12250,90)pr
set(68,17950,-12250,-90)pl
set(62,15750,-12250,-90)
set(62,10150,-12250,-90)p
set(62,4550,-12250,-90)p
chk(70,1750,-12250,90)
set(64,0,-12250,90)pt
set(62,0,-7700,0)
set(62,0,-5600,0)

set(63,31156,20944,0)po
set(63,31156,8600,180)
set(62,31156,18144,180)
set(66,31156,17956,0)
fix(41,31156,15048,-1500,0)
set(62,31156,12544,180)
set(62,31156,11400,180)
set(66,31156,12088,0)
set(63,18550,-12250,-90)

set(23,40600,15070,0)
set(63,42960,-5080,-90)
set(62,40160,-5080,-90)

set(62,34560,-5080,-90)
set(62,28960,-5080,-90)
set(62,23360,-5080,-90)
set(68,27629,-5080,90)
set(62,17760,-5080,-90)
set(67,17811,-5080,90)
set(63,9360,-5080,90)
set(62,12160,-5080,90)
set(10,45926,24154,180)
set(10,45926,18554,180)
set(10,45926,12954,180)
set(30,45926,15676,180)

set(10,45926,7354,180)
set(10,45926,29754,180)
set(28,45926,27188,0)
set(23,45926,32554,180)
set(23,45926,4554,0)
set(27,45926,6500,0)

set(65,0,-4350,0)pr

maxl(13,-5300,-14369)
maxb(13,-16769,-2900)
maxr(13,57100,-14369)
maxt(13,45631,-2900)
