snap(0,0,-26)
sky(255,211,141)
fog(255,220,145)
clouds(204,214,255,2,-1140)
ground(255,251,183)
texture(196,142,46,20)
fadefrom(5000)
density(5)
mountains(18086)
name(Extreme Overdrive)
nlaps(3)


set(48,0,0,0)p
set(15,0,5600,0)p
set(15,0,11200,0)
set(15,0,16800,0)
set(34,0,12092,0)pr
set(16,0,22400,0)p
set(15,0,28000,0)p
chk(42,0,30800,0)
set(17,0,32550,0)pt



set(44,4550,32550,90)p
set(35,8840,32800,-90)pr
set(35,10860,32160,-90)
set(43,10150,32550,-90)
set(43,15750,32550,-90)
set(43,21350,32550,-90)p
set(44,26950,32550,-90)p
chk(42,29750,32550,90)
set(17,31500,32550,180)pt

set(17,31500,36050,-90)pt
set(15,26950,36050,-90)p
set(15,21350,36050,-90)
set(44,15750,36050,-90)
set(34,16960,36050,-90)pr
set(43,10150,36050,90)
set(43,4550,36050,90)
set(33,6600,36050,-90)
set(43,-1050,36050,90)
set(33,2483,36050,-90)
set(35,-4721,36325,-90)pr
set(35,-6668,35764,-90)
set(43,-6650,36050,90)
set(44,-12250,36050,90)p
set(15,-17850,36050,90)
set(15,-23450,36050,90)p
chk(42,-26250,36050,90)
set(17,-28000,36050,90)pt


set(17,-28000,39550,0)pt
set(44,-23450,39550,90)
set(43,-17850,39550,-90)
set(33,-21320,39550,-90)pr
set(33,-17424,39550,-90)
set(43,-12250,39550,-90)p
set(44,-6650,39550,-90)
chk(42,-3850,39550,90)
set(17,-2100,39550,180)pt


set(15,-2100,44100,180)p
set(15,-2100,49700,180)
set(35,-2100,50512,0)pr
set(20,-2100,55300,0)p
set(10,-2100,60900,0)p
set(10,-2100,66500,0)p
chk(40,-2100,69300,0)
set(14,-2100,71050,-90)pt


set(10,-6650,71050,-90)p
set(14,-11200,71050,0)pt
chk(40,-11200,69300,0)


set(10,-11200,66500,0)p
set(10,-11200,60900,0)p
set(10,-11200,55300,0)
set(10,-11200,49700,0)
set(31,-11200,49191,180)pr
set(23,-11200,46900,0)

set(15,-11200,28320,180)p
chk(42,-11200,25520,0)
set(17,-11200,23770,180)pt

set(20,-15750,23770,90)p
set(10,-21350,23770,90)p
set(14,-25900,23770,0)pt


set(14,-25900,20650,90)pt
chk(40,-24150,20650,90)
set(10,-21350,20650,90)p
set(10,-19508,20650,90)p
set(10,-13908,20650,90)p
set(10,-8308,20650,90)
set(30,-6603,20650,-90)pr
set(23,-5508,20650,90)

set(23,6856,20650,-90)p
set(10,9656,20650,-90)p
set(10,17850,20650,90)p
set(10,23450,20650,90)p
set(38,20422,20650,90)
set(38,17977,20650,90)
set(38,15550,20650,90)
set(38,13210,20650,90)
chk(40,26250,20650,90)
set(14,28000,20650,-90)pt


set(14,28000,17150,180)pt
set(10,23450,17150,90)
set(10,19250,17150,-90)

set(20,13650,17150,-90)p
chk(42,10850,17150,90)
set(17,9100,17150,0)pt

set(15,9100,12600,0)
set(15,9100,11200,180)
set(33,9100,11180,180)pr
set(16,9100,5600,180)p
set(15,9100,0,180)p
set(17,9100,-4550,180)pt
set(15,4550,-4550,90)p
chk(42,4592,-4550,90)

//misc junk

set(10,12250,20650,90)
set(24,-11200,30610,0)
set(17,6914,41791,90)
set(15,11464,41791,90)
set(17,21614,41791,180)
set(15,21614,46341,180)
set(15,21614,51941,180)
set(34,21614,47760,180)
fix(41,21614,55560,-1750,0)
set(15,21614,57541,180)
set(17,21614,62091,-90)
set(15,17064,62091,90)
set(17,6914,62091,0)
set(15,6914,57541,180)
set(15,6914,51941,180)
set(34,6914,55700,180)
fix(41,6914,47830,-1750,0)
set(15,6914,46341,180)
set(16,17064,41791,90)
set(16,11464,62091,90)

//last

set(17,0,-4550,90)pt



maxl(17,-31850,-5209)
maxb(14,-7609,-29450)
maxr(17,35350,-5209)
maxt(14,73990,-29450)
